Direction,Title,Filename,Size_GB,Quality_Score,Reason
Ali → Chris,x p ddp5 1 ift mkv,X.2022.1080p.BluRay.DDP5.1.x264-iFT.mkv,16.05,0,Only Ali has this file
Ali → Chris,all of us strangers solar mkv,All of Us Strangers (2023) {imdb-tt21192142} [Bluray-1080p Proper][DV HDR10][EAC3 5.1][x265]-SoLaR.mkv,18.02,0,Only Ali has this file
Ali → Chris,ricky gervais supernature smurf mkv,Ricky Gervais SuperNature (2022) {imdb-tt19885626} [NF][WEBDL-1080p][HDR10][EAC3 Atmos 5.1][HEVC]-SMURF.mkv,2.90,0,Only Ali has this file
Ali → Chris,the ides of march p d z0n3 mkv,The.Ides.of.March.2011.1080p.BluRay.DTS.x264.D-Z0N3.mkv,13.08,0,Only Ali has this file
Ali → Chris,dìdi 弟弟 pter mkv,Dìdi 弟弟 (2024) {imdb-tt30319503} [Hybrid][Bluray-1080p][EAC3 5.1][x264]-PTer.mkv,13.16,0,Only Ali has this file
Ali → Chris,sex and the city 2 j3rico mkv,Sex and the City 2 (2010) {imdb-tt1261945} - [Bluray-1080p][EAC3 5.1][x264]-j3rico.mkv,14.70,0,Only Ali has this file
Ali → Chris,the fare meesta mkv,The Fare (2018) {imdb-tt7293920} - [Bluray-1080p][AC3 5.1][x264]-MeeSta.mkv,5.68,0,Only Ali has this file
Ali → Chris,bill and teds excellent adventure ift mkv,Bill and Teds Excellent Adventure (1989) {imdb-tt0096928} [Bluray-1080p][FLAC 2.0][x264]-iFT.mkv,11.92,0,Only Ali has this file
Ali → Chris,guillermo del toros pinocchio c0ke mkv,Guillermo del Toros Pinocchio (2022) {imdb-tt1488589} [Bluray-1080p][DV HDR10][EAC3 7.1][x265]-c0kE.mkv,11.49,0,Only Ali has this file
Ali → Chris,the one p form mkv,The.One.2001.1080p.BluRay.DTS.x264-FoRM.mkv,8.98,0,Only Ali has this file
Ali → Chris,prep and landing the snowball protocol ntb mkv,Prep and Landing The Snowball Protocol (2025) {imdb-tt32594892} - [DSNP][WEBDL-1080p][EAC3 5.1][h264]-NTb.mkv,0.87,0,Only Ali has this file
Ali → Chris,wifelike playweb mkv,Wifelike (2022) {imdb-tt15978956} [NF][WEBDL-1080p][EAC3 5.1][x264]-playWEB.mkv,4.07,0,Only Ali has this file
Ali → Chris,dawn of the dead sqs mkv,Dawn of the Dead (2004) {imdb-tt0363547} {edition-Unrated} [Bluray-1080p][DV HDR10][EAC3 5.1][x265]-SQS.mkv,6.58,0,Only Ali has this file
Ali → Chris,hail satan p amzn ddp5 1 ntg mkv,Hail.Satan.2019.1080p.AMZN.WEB-DL.DDP5.1.H.264-NTG.mkv,6.64,0,Only Ali has this file
Ali → Chris,how to blow up a pipeline hidt mkv,How to Blow Up a Pipeline (2022) {imdb-tt21440780} [Bluray-1080p][EAC3 5.1][x264]-HiDt.mkv,16.08,0,Only Ali has this file
Ali → Chris,dinner in america p 5 1 ift mkv,Dinner.in.America.2020.1080p.BluRay.DD+5.1.x264-iFT.mkv,17.53,0,Only Ali has this file
Ali → Chris,eraserhead p flac 2 0 don mkv,Eraserhead.1977.1080p.BluRay.FLAC.2.0.x264-DON.mkv,7.73,0,Only Ali has this file
Ali → Chris,young people fucking cinefile mkv,Young People Fucking (2007) {imdb-tt0913445} [Bluray-1080p][DTS 5.1][x264]-CiNEFiLE.mkv,7.95,0,Only Ali has this file
Ali → Chris,frida tdd mkv,Frida (2002) {imdb-tt0120679} [Bluray-1080p][DTS 5.1][x264]-TDD.mkv,17.82,0,Only Ali has this file
Ali → Chris,the shining us version p 5 1 pter mkv,The.Shining.1980.US.Version.1080p.BluRay.DD+5.1.x264-PTer.mkv,21.46,0,Only Ali has this file
Ali → Chris,the secret dare to dream p 5 1 ift mkv,The.Secret.Dare.to.Dream.2020.1080p.BluRay.DD+5.1.x264-iFT.mkv,11.17,0,Only Ali has this file
Ali → Chris,rambo first blood part ii hallowed mkv,Rambo First Blood Part II (1985) {imdb-tt0089880} {edition-Remastered} [Bluray-1080p][EAC3 5.1][x264]-hallowed.mkv,8.47,0,Only Ali has this file
Ali → Chris,dog p ddp5 1 ift mkv,Dog.2022.1080p.BluRay.DDP5.1.x264-iFT.mkv,11.39,0,Only Ali has this file
Ali → Chris,billie isa mkv,Billie (2020) {imdb-tt8019486} [AMZN][WEBDL-1080p][EAC3 5.1][h264]-ISA.mkv,5.37,0,Only Ali has this file
Ali → Chris,automata ift mkv,Automata (2014) {imdb-tt1971325} [Bluray-1080p][DTS 5.1][x264]-iFT.mkv,10.34,0,Only Ali has this file
Ali → Chris,the tale don mkv,The Tale (2018) {imdb-tt4015500} [Bluray-1080p][EAC3 5.1][x264]-DON.mkv,20.68,0,Only Ali has this file
Ali → Chris,puppy love kitsune mkv,Puppy Love (2023) {imdb-tt28182736} [AMZN][WEBDL-1080p][EAC3 5.1][h264]-Kitsune.mkv,5.17,0,Only Ali has this file
Ali → Chris,john carter p form mkv,John.Carter.2012.1080p.BluRay.DTS.x264-FoRM.mkv,12.99,0,Only Ali has this file
Ali → Chris,after we fell piratem mkv,After We Fell (2021) {imdb-tt13069986} [Bluray-1080p][DTS-HD MA 5.1][x264]-PirateM.mkv,5.69,0,Only Ali has this file
Ali → Chris,pacifiction sbr mkv,Pacifiction (2022) {imdb-tt13702796} [Bluray-1080p][EAC3 5.1][x264]-SbR.mkv,17.75,0,Only Ali has this file
Ali → Chris,dave chappelle killin them softly p amzn ddp2 0 kaizen mkv,Dave.Chappelle.Killin.Them.Softly.2000.1080p.AMZN.WEB-DL.DDP2.0.H.264-KAIZEN.mkv,3.19,0,Only Ali has this file
