Title,Winner,Ali_File,Ali_Score,Chris_File,Chris_Score,Action,Deleted_Path,Reason
Gladiator II (2024),ali,Gladiator II (2024) {tmdb-558449} - [Remux-2160p][TrueHD Atmos 7.1][DV HDR10][HEVC]-FraMeSToR.mkv,7700,,0,COPY Ali → Chris,,Only Ali has this file
Passengers (2016),ali,Passengers (2016) {tmdb-274870} - [Hybrid][Remux-2160p][TrueHD Atmos 7.1][DV HDR10][HEVC]-FraMeSToR.mkv,7700,Passengers (2016) {tmdb-274870} - [Remux-2160p][TrueHD Atmos 7.1][HDR10][HEVC]-EPSiLON.mkv,7600,"MOVE Chris's to Deleted, COPY Ali's to Chris",/mnt/synology/rs-4kmedia/deleted/4K Movies,Ali's version is higher quality (+100)
Black Panther Wakanda Forever (2022),ali,Black Panther Wakanda Forever (2022) {tmdb-505642} - [Bluray-2160p][TrueHD Atmos 7.1][DV HDR10][x265]-W4NK3R.mkv,7200,Black Panther Wakanda Forever (2022) {tmdb-505642} - [Bluray-2160p][EAC3 7.1][DV HDR10][x265]-HONE.mkv,6850,"MOVE Chris's to Deleted, COPY Ali's to Chris",/mnt/synology/rs-4kmedia/deleted/4K Movies,Ali's version is higher quality (+350)
The Super Mario Bros. Movie (2023),ali,The Super Mario Bros. Movie (2023) {tmdb-502356} - [Bluray-2160p][TrueHD Atmos 7.1][DV HDR10][x265]-W4NK3R.mkv,7200,,0,COPY Ali → Chris,,Only Ali has this file
Return of the Jedi (1983),chris,Return of the Jedi (1983) {tmdb-1892} - [Hybrid][Bluray-2160p][TrueHD Atmos 7.1][DV HDR10][x265]-HiDt.mkv,7200,Return of the Jedi (1983) {tmdb-1892} - [Remux-2160p][TrueHD Atmos 7.1][HDR10][h265].mkv,7600,"MOVE Ali's to Deleted, COPY Chris's to Ali",/mnt/unraid/media/Deleted Movies,Chris's version is higher quality (+400)
Civil War (2024),ali,Civil War (2024) {tmdb-929590} - [Bluray-2160p][TrueHD Atmos 7.1][DV HDR10Plus][x265]-MainFrame.mkv,7200,,0,COPY Ali → Chris,,Only Ali has this file
Wonder Woman 1984 (2020),ali,Wonder Woman 1984 (2020) {tmdb-464052} - {edition-IMAX} [Bluray-2160p][TrueHD Atmos 7.1][DV HDR10Plus][x265]-W4NK3R.mkv,7200,Wonder Woman 1984 (2020) {tmdb-464052} - [HMAX][WEBDL-2160p][EAC3 Atmos 5.1][HDR10][HEVC]-TOMMY.mkv,6597,"MOVE Chris's to Deleted, COPY Ali's to Chris",/mnt/synology/rs-4kmedia/deleted/4K Movies,Ali's version is higher quality (+603)
The Matrix (1999),chris,The Matrix (1999) {tmdb-603} - [Bluray-2160p][TrueHD Atmos 7.1][DV HDR10][x265]-W4NK3R.mkv,7200,The Matrix (1999) {tmdb-603} - [Remux-2160p][TrueHD Atmos 7.1][HDR10][HEVC]-FraMeSToR.mkv,7600,"MOVE Ali's to Deleted, COPY Chris's to Ali",/mnt/unraid/media/Deleted Movies,Chris's version is higher quality (+400)
Frankenstein (2025),ali,Frankenstein (2025) {tmdb-1062722} - [NF][WEBDL-2160p][EAC3 Atmos 5.1][DV HDR10][h265]-Kitsune.mkv,6700,,0,COPY Ali → Chris,,Only Ali has this file
Mission Impossible II (2000),ali,Mission Impossible II (2000) {tmdb-955} - [Bluray-2160p][TrueHD 5.1][DV HDR10][x265]-SPHD.mkv,7150,,0,COPY Ali → Chris,,Only Ali has this file
Godzilla Minus One (2023),ali,Godzilla Minus One (2023) {tmdb-940721} - [Bluray-2160p][TrueHD Atmos 7.1][DV HDR10][x265]-W4NK3R.mkv,7200,,0,COPY Ali → Chris,,Only Ali has this file
Indiana Jones and the Dial of Destiny (2023),ali,Indiana Jones and the Dial of Destiny (2023) {tmdb-335977} - [Hybrid][Remux-2160p][TrueHD Atmos 7.1][DV HDR10][HEVC]-FraMeSToR.mkv,7700,,0,COPY Ali → Chris,,Only Ali has this file
Red Sparrow (2018),ali,Red Sparrow (2018) {tmdb-401981} - [Bluray-2160p][TrueHD Atmos 7.1][DV HDR10][x265]-MainFrame.mkv,7200,Red Sparrow (2018) {tmdb-401981} - [Bluray-2160p][TrueHD Atmos 7.1][HDR10][x265]-WhiteRhino.mkv,7041,"MOVE Chris's to Deleted, COPY Ali's to Chris",/mnt/synology/rs-4kmedia/deleted/4K Movies,Ali's version is higher quality (+159)
Doctor Strange (2016),chris,,0,Doctor Strange (2016) {tmdb-284052} - [Remux-2160p][TrueHD Atmos 7.1][DV HDR10][h265].mkv,7700,COPY Chris → Ali,,Only Chris has this file
2001 A Space Odyssey (1968),ali,2001 A Space Odyssey (1968) {tmdb-62} - [Remux-2160p Proper][DTS-HD MA 5.1][DV HDR10][HEVC]-FraMeSToR.mkv,7600,2001 A Space Odyssey (1968) {tmdb-62} - [Remux-2160p Proper][DTS-HD MA 5.1][HDR10][HEVC]-EPSiLON.mkv,7500,"MOVE Chris's to Deleted, COPY Ali's to Chris",/mnt/synology/rs-4kmedia/deleted/4K Movies,Ali's version is higher quality (+100)
Mission Impossible (1996),tie,Mission Impossible (1996) {tmdb-954} - [Bluray-2160p][TrueHD 5.1][DV HDR10][x265]-SPHD.mkv,7150,Mission Impossible (1996) {tmdb-954} - [Bluray-2160p][TrueHD 5.1][DV HDR10][x265]-SPHD.mkv,7150,NO ACTION (keep both),,Both versions are equal quality (7150)
Dawn of the Planet of the Apes (2014),ali,Dawn of the Planet of the Apes (2014) {tmdb-119450} - [Bluray-2160p][EAC3 7.1][DV HDR10][x265]-hallowed.mkv,6803,,0,COPY Ali → Chris,,Only Ali has this file
Willy Wonka and the Chocolate Factory (1971),ali,Willy Wonka and the Chocolate Factory (1971) {tmdb-252} - [Bluray-2160p][DTS-HD MA 5.1][DV HDR10][x265]-MainFrame.mkv,7100,,0,COPY Ali → Chris,,Only Ali has this file
Black Widow (2021),ali,Black Widow (2021) {tmdb-497698} - [Bluray-2160p Proper][TrueHD Atmos 7.1][DV HDR10][x265]-W4NK3R.mkv,7200,Black Widow (2021) {tmdb-497698} - [Bluray-2160p][TrueHD Atmos 7.1][HDR10][x265]-HDChina.mkv,7100,"MOVE Chris's to Deleted, COPY Ali's to Chris",/mnt/synology/rs-4kmedia/deleted/4K Movies,Ali's version is higher quality (+100)
Zack Snyders Justice League (2021),ali,Zack Snyders Justice League (2021) {tmdb-791373} - [Bluray-2160p][TrueHD Atmos 7.1][DV HDR10][x265]-W4NK3R.mkv,7200,,0,COPY Ali → Chris,,Only Ali has this file
Alien (1979),chris,,0,Alien.1979.DC.2160p.UHD.BluRay.X265-IAMABLE.mkv,5900,COPY Chris → Ali,,Only Chris has this file
