Title,Winner,Ali_File,Ali_Score,Chris_File,Chris_Score,Action,Deleted_Path,Reason
Cruel Intentions (1999),ali,Cruel Intentions (1999) {tmdb-796} - [Bluray-1080p][DTS 5.1][x264]-TDD.mkv,3920,Cruel Intentions (1999) {tmdb-796} - [Bluray-1080p][AC3 5.1][x264]-TiMELORDS.mkv,3779,"MOVE Chris's to Deleted, COPY Ali's to Chris",/mnt/synology/rs-4kmedia/deleted/Movies,Ali's version is higher quality (+141)
Detective Knight Independence (2023),tie,Detective Knight Independence (2023) {tmdb-1035806} - [AMZN][WEBDL-1080p][EAC3 5.1][h264]-APEX.mkv,3345,Detective Knight Independence (2023) {tmdb-1035806} - [AMZN][WEBDL-1080p][EAC3 5.1][h264]-APEX.mkv,3345,NO ACTION (keep both),,Both versions are equal quality (3345)
Ice Road Vengeance (2025),tie,Ice Road Vengeance (2025) {tmdb-1119878} - [Bluray-1080p][DTS-HD MA 5.1][x264]-PiGNUS.mkv,4124,Ice Road Vengeance (2025) {tmdb-1119878} - [Bluray-1080p][DTS-HD MA 5.1][x264]-PiGNUS.mkv,4124,NO ACTION (keep both),,Both versions are equal quality (4124)
A Passage to India (1984),ali,A Passage to India (1984) {tmdb-15927} - [Bluray-1080p][EAC3 5.1][x264]-playHD.mkv,3950,A Passage to India (1984) {tmdb-15927} - [Bluray-1080p Proper][AC3 5.1][x264]-Japhson.mkv,3809,"MOVE Chris's to Deleted, COPY Ali's to Chris",/mnt/synology/rs-4kmedia/deleted/Movies,Ali's version is higher quality (+141)
The Blackcoats Daughter (2017),chris,The Blackcoats Daughter (2017) {tmdb-334536} - [Bluray-1080p][AC3 5.1][x264]-SA89.mkv,3779,The Blackcoats Daughter (2017) {tmdb-334536} - [Bluray-1080p][DTS 5.1][x264].mkv,3865,"MOVE Ali's to Deleted, COPY Chris's to Ali",/mnt/unraid/media/Deleted Movies,Chris's version is higher quality (+86)
The Craft Legacy (2020),chris,,0,The Craft Legacy (2020) {tmdb-590995} - [Bluray-1080p][DTS-HD MA 5.1][x264].mkv,4098,COPY Chris → Ali,,Only Chris has this file
Silent Night (2021),tie,Silent Night (2021) {tmdb-664574} - [Bluray-1080p][EAC3 5.1][x264]-EA.mkv,3825,Silent Night (2021) {tmdb-664574} - [Bluray-1080p][EAC3 5.1][x264]-EA.mkv,3825,NO ACTION (keep both),,Both versions are equal quality (3825)
Romeo Must Die (2000),tie,Romeo Must Die (2000) {tmdb-2085} - [Hybrid][Bluray-1080p][DTS-HD MA 5.1][DV HDR10Plus][h265]-Robo29.mkv,4576,Romeo Must Die (2000) {tmdb-2085} - [Bluray-1080p][DTS-HD MA 5.1][DV HDR10Plus][h265]-Robo29.mkv,4576,NO ACTION (keep both),,Both versions are equal quality (4576)
Street Fighter The Legend of Chun-Li (2009),chris,,0,Street Fighter The Legend of Chun-Li (2009) {tmdb-15268} - [Bluray-720p][DTS 5.1][x264].mkv,2843,COPY Chris → Ali,,Only Chris has this file
3 Ninjas Kick Back (1994),tie,3 Ninjas Kick Back (1994) {tmdb-18885} - [Bluray-1080p][FLAC 2.0][x264]-fl00f.mkv,3711,3 Ninjas Kick Back (1994) {tmdb-18885} - [Bluray-1080p][FLAC 2.0][x264]-fl00f.mkv,3711,NO ACTION (keep both),,Both versions are equal quality (3711)
Patch Adams (1998),tie,Patch Adams (1998) {tmdb-10312} - [Bluray-1080p][DTS-HD MA 5.1][x264]-iFT.mkv,4143,Patch Adams (1998) {tmdb-10312} - [Bluray-1080p][DTS-HD MA 5.1][x264]-iFT.mkv,4143,NO ACTION (keep both),,Both versions are equal quality (4143)
Desperately Seeking Susan (1985),chris,,0,Desperately Seeking Susan (1985) {tmdb-8130} - [AMZN][WEBDL-1080p][EAC3 2.0][h264]-SPWEB.mkv,3356,COPY Chris → Ali,,Only Chris has this file
Supersonic (2016),tie,Supersonic (2016) {tmdb-412924} - [Bluray-1080p][AC3 5.1][x264]-HANDJOB.mkv,3801,Supersonic (2016) {tmdb-412924} - [Bluray-1080p][AC3 5.1][x264]-HANDJOB.mkv,3801,NO ACTION (keep both),,Both versions are equal quality (3801)
The Flintstones (1994),tie,The Flintstones (1994) {tmdb-888} - [Bluray-1080p][DTS 5.1][x264]-PHOBOS.mkv,3865,The Flintstones (1994) {tmdb-888} - [Bluray-1080p][DTS 5.1][x264]-PHOBOS.mkv,3865,NO ACTION (keep both),,Both versions are equal quality (3865)
The Hand That Rocks the Cradle (2025),chris,,0,The Hand That Rocks the Cradle (2025) {tmdb-1362315} - [Hulu][WEBDL-1080p][EAC3 5.1][h264]-PiRaTeS.mkv,3282,COPY Chris → Ali,,Only Chris has this file
The Third Man (1949),tie,The Third Man (1949) {tmdb-1092} - [AMZN][WEBDL-1080p][EAC3 2.0][h264]-PiRaTeS.mkv,3323,The Third Man (1949) {tmdb-1092} - [AMZN][WEBDL-1080p][EAC3 2.0][h264]-PiRaTeS.mkv,3323,NO ACTION (keep both),,Both versions are equal quality (3323)
