title,filename,path,relative_path,size_bytes,size_gb,resolution,width,height,video_codec,audio_codec,hdr,source,group,duration_minutes,bitrate_mbps
Dungeons and Dragons The Book of Vile Darkness (2012),Dungeons and Dragons The Book of Vile Darkness (2012) {tmdb-135858} - [Bluray-1080p][AC3 5.1][x264]-OFT.mkv,/mnt/synology/rs-movies/Dungeons and Dragons The Book of Vile Darkness (2012)/Dungeons and Dragons The Book of Vile Darkness (2012) {tmdb-135858} - [Bluray-1080p][AC3 5.1][x264]-OFT.mkv,Dungeons and Dragons The Book of Vile Darkness (2012)/Dungeons and Dragons The Book of Vile Darkness (2012) {tmdb-135858} - [Bluray-1080p][AC3 5.1][x264]-OFT.mkv,4154142874,3.87,1080p,,,H.264,DD,,BluRay,,,
The Mothman Prophecies (2002),The Mothman Prophecies (2002) {tmdb-2637} - [Bluray-1080p][DTS 5.1][x264]-HDMaNiAcS.mkv,/mnt/synology/rs-movies/The Mothman Prophecies (2002)/The Mothman Prophecies (2002) {tmdb-2637} - [Bluray-1080p][DTS 5.1][x264]-HDMaNiAcS.mkv,The Mothman Prophecies (2002)/The Mothman Prophecies (2002) {tmdb-2637} - [Bluray-1080p][DTS 5.1][x264]-HDMaNiAcS.mkv,9257660865,8.62,1080p,,,H.264,DTS,,BluRay,,,
The Hatchet Wielding Hitchhiker (2023),The Hatchet Wielding Hitchhiker (2023) {tmdb-1061117} - [NF][WEBDL-1080p][EAC3 Atmos 5.1][DV HDR10][h265]-SMURF.mkv,/mnt/synology/rs-movies/The Hatchet Wielding Hitchhiker (2023)/The Hatchet Wielding Hitchhiker (2023) {tmdb-1061117} - [NF][WEBDL-1080p][EAC3 Atmos 5.1][DV HDR10][h265]-SMURF.mkv,The Hatchet Wielding Hitchhiker (2023)/The Hatchet Wielding Hitchhiker (2023) {tmdb-1061117} - [NF][WEBDL-1080p][EAC3 Atmos 5.1][DV HDR10][h265]-SMURF.mkv,3074212768,2.86,1080p,,,H.265,DD+,DV HDR10,WEB-DL,,,
The Island of Dr. Moreau (1996),The Island of Dr. Moreau (1996) {tmdb-9306} - {edition-Director's Cut} [Remux-1080p][DTS-HD MA 5.1][h264]-KRaLiMaRKo.mkv,/mnt/synology/rs-movies/The Island of Dr. Moreau (1996)/The Island of Dr. Moreau (1996) {tmdb-9306} - {edition-Director's Cut} [Remux-1080p][DTS-HD MA 5.1][h264]-KRaLiMaRKo.mkv,The Island of Dr. Moreau (1996)/The Island of Dr. Moreau (1996) {tmdb-9306} - {edition-Director's Cut} [Remux-1080p][DTS-HD MA 5.1][h264]-KRaLiMaRKo.mkv,21378591053,19.91,1080p,,,H.264,DTS-HD,,Remux,,,
The Worthy (2016),The Worthy (2016) {tmdb-413780} - [NF][WEBDL-1080p][AC3 5.1][x264]-SadeceBluRay.mkv,/mnt/synology/rs-movies/The Worthy (2016)/The Worthy (2016) {tmdb-413780} - [NF][WEBDL-1080p][AC3 5.1][x264]-SadeceBluRay.mkv,The Worthy (2016)/The Worthy (2016) {tmdb-413780} - [NF][WEBDL-1080p][AC3 5.1][x264]-SadeceBluRay.mkv,4555881620,4.24,1080p,,,H.264,DD,,BluRay,,,
Crank (2006),Crank (2006) {tmdb-1948} - {edition-Directors Cut} [Bluray-1080p][DTS 5.1][x264]-CtrlHD.mkv,/mnt/synology/rs-movies/Crank (2006)/Crank (2006) {tmdb-1948} - {edition-Directors Cut} [Bluray-1080p][DTS 5.1][x264]-CtrlHD.mkv,Crank (2006)/Crank (2006) {tmdb-1948} - {edition-Directors Cut} [Bluray-1080p][DTS 5.1][x264]-CtrlHD.mkv,10023871880,9.34,1080p,,,H.264,DTS,,BluRay,,,
Dumbo (1941),Dumbo (1941) {tmdb-11360} - [Bluray-1080p][DTS 5.1][x264]-decibeL.mkv,/mnt/synology/rs-movies/Dumbo (1941)/Dumbo (1941) {tmdb-11360} - [Bluray-1080p][DTS 5.1][x264]-decibeL.mkv,Dumbo (1941)/Dumbo (1941) {tmdb-11360} - [Bluray-1080p][DTS 5.1][x264]-decibeL.mkv,4696095943,4.37,1080p,,,H.264,DTS,,BluRay,,,
Love Actually (2003),Love Actually (2003) {tmdb-508} - [Bluray-1080p][EAC3 7.1][DV HDR10][x265]-c0kE.mkv,/mnt/synology/rs-movies/Love Actually (2003)/Love Actually (2003) {tmdb-508} - [Bluray-1080p][EAC3 7.1][DV HDR10][x265]-c0kE.mkv,Love Actually (2003)/Love Actually (2003) {tmdb-508} - [Bluray-1080p][EAC3 7.1][DV HDR10][x265]-c0kE.mkv,17137966890,15.96,1080p,,,H.265,DD+,DV HDR10,BluRay,,,
Awake (2019),Awake (2021) {tmdb-615658} - [NF][WEBDL-1080p][EAC3 Atmos 5.1][x264]-EVO.mkv,/mnt/synology/rs-movies/Awake (2019)/Awake (2021) {tmdb-615658} - [NF][WEBDL-1080p][EAC3 Atmos 5.1][x264]-EVO.mkv,Awake (2019)/Awake (2021) {tmdb-615658} - [NF][WEBDL-1080p][EAC3 Atmos 5.1][x264]-EVO.mkv,3182257665,2.96,1080p,,,H.264,DD+,,WEB-DL,,,
Men of Honor (2000),Men of Honor (2000) {tmdb-11978} - [Bluray-1080p][EAC3 5.1][x264]-playHD.mkv,/mnt/synology/rs-movies/Men of Honor (2000)/Men of Honor (2000) {tmdb-11978} - [Bluray-1080p][EAC3 5.1][x264]-playHD.mkv,Men of Honor (2000)/Men of Honor (2000) {tmdb-11978} - [Bluray-1080p][EAC3 5.1][x264]-playHD.mkv,15975259638,14.88,1080p,,,H.264,DD+,,BluRay,,,
