title,filename,path,relative_path,size_bytes,size_gb,resolution,width,height,video_codec,audio_codec,hdr,source,group,duration_minutes,bitrate_mbps
Avalon (1990),Avalon (1990) {tmdb-2302} - [AMZN][WEBRip-1080p][EAC3 2.0][x264]-ABM.mkv,/mnt/media/Movies/Avalon (1990)/Avalon (1990) {tmdb-2302} - [AMZN][WEBRip-1080p][EAC3 2.0][x264]-ABM.mkv,Avalon (1990)/Avalon (1990) {tmdb-2302} - [AMZN][WEBRip-1080p][EAC3 2.0][x264]-ABM.mkv,12005479258,11.18,1080p,,,H.264,DD+,,WEBRip,,,
The Amazing Panda Adventure (1995),The Amazing Panda Adventure (1995) {tmdb-30765} - [WEBDL-1080p][EAC3 2.0][x264]-TrollHD.mkv,/mnt/media/Movies/The Amazing Panda Adventure (1995)/The Amazing Panda Adventure (1995) {tmdb-30765} - [WEBDL-1080p][EAC3 2.0][x264]-TrollHD.mkv,The Amazing Panda Adventure (1995)/The Amazing Panda Adventure (1995) {tmdb-30765} - [WEBDL-1080p][EAC3 2.0][x264]-TrollHD.mkv,8842869454,8.24,1080p,,,H.264,DD+,DV,WEB-DL,,,
Mrs. Harris Goes to Paris (2022),Mrs. Harris Goes to Paris (2022) {tmdb-754609} - [Hybrid][Bluray-1080p Proper][EAC3 5.1][x264]-c0kE.mkv,/mnt/media/Movies/Mrs. Harris Goes to Paris (2022)/Mrs. Harris Goes to Paris (2022) {tmdb-754609} - [Hybrid][Bluray-1080p Proper][EAC3 5.1][x264]-c0kE.mkv,Mrs. Harris Goes to Paris (2022)/Mrs. Harris Goes to Paris (2022) {tmdb-754609} - [Hybrid][Bluray-1080p Proper][EAC3 5.1][x264]-c0kE.mkv,16471214262,15.34,1080p,,,H.264,DD+,,BluRay,,,
Project Power (2020),Project Power (2020) {tmdb-605116} - [NF][WEBDL-1080p][EAC3 Atmos 5.1][x264]-CMRG.mkv,/mnt/media/Movies/Project Power (2020)/Project Power (2020) {tmdb-605116} - [NF][WEBDL-1080p][EAC3 Atmos 5.1][x264]-CMRG.mkv,Project Power (2020)/Project Power (2020) {tmdb-605116} - [NF][WEBDL-1080p][EAC3 Atmos 5.1][x264]-CMRG.mkv,5517926706,5.14,1080p,,,H.264,DD+,,WEB-DL,,,
Whiteout (2009),Whiteout (2009) {tmdb-22787} - [Bluray-1080p][DTS 5.1][x264]-DON.mkv,/mnt/media/Movies/Whiteout (2009)/Whiteout (2009) {tmdb-22787} - [Bluray-1080p][DTS 5.1][x264]-DON.mkv,Whiteout (2009)/Whiteout (2009) {tmdb-22787} - [Bluray-1080p][DTS 5.1][x264]-DON.mkv,9066478082,8.44,1080p,,,H.264,DTS,,BluRay,,,
Birds of Prey and the Fantabulous Emancipation of One Harley Quinn (2020),Birds of Prey and the Fantabulous Emancipation of One Harley Quinn (2020) {tmdb-495764} - [Bluray-1080p][EAC3 7.1][HDR10Plus][x265]-D-Z0N3.mkv,/mnt/media/Movies/Birds of Prey and the Fantabulous Emancipation of One Harley Quinn (2020)/Birds of Prey and the Fantabulous Emancipation of One Harley Quinn (2020) {tmdb-495764} - [Bluray-1080p][EAC3 7.1][HDR10Plus][x265]-D-Z0N3.mkv,Birds of Prey and the Fantabulous Emancipation of One Harley Quinn (2020)/Birds of Prey and the Fantabulous Emancipation of One Harley Quinn (2020) {tmdb-495764} - [Bluray-1080p][EAC3 7.1][HDR10Plus][x265]-D-Z0N3.mkv,13911124503,12.96,1080p,,,H.265,DD+,HDR10+,BluRay,,,
Detective Knight Rogue (2022),Detective Knight Rogue (2022) {tmdb-1024546} - [Hybrid][Bluray-1080p][EAC3 5.1][DV HDR10][x265]-LEGi0N.mkv,/mnt/media/Movies/Detective Knight Rogue (2022)/Detective Knight Rogue (2022) {tmdb-1024546} - [Hybrid][Bluray-1080p][EAC3 5.1][DV HDR10][x265]-LEGi0N.mkv,Detective Knight Rogue (2022)/Detective Knight Rogue (2022) {tmdb-1024546} - [Hybrid][Bluray-1080p][EAC3 5.1][DV HDR10][x265]-LEGi0N.mkv,19551698543,18.21,1080p,,,H.265,DD+,DV HDR10,BluRay,,,
Code Name Banshee (2022),Code Name Banshee (2022) {tmdb-916719} - [Bluray-1080p][DTS-HD MA 5.1][x264]-RUSTED.mkv,/mnt/media/Movies/Code Name Banshee (2022)/Code Name Banshee (2022) {tmdb-916719} - [Bluray-1080p][DTS-HD MA 5.1][x264]-RUSTED.mkv,Code Name Banshee (2022)/Code Name Banshee (2022) {tmdb-916719} - [Bluray-1080p][DTS-HD MA 5.1][x264]-RUSTED.mkv,14654842174,13.65,1080p,,,H.264,DTS-HD,,BluRay,,,
Blade of the 47 Ronin (2022),Blade of the 47 Ronin (2022) {tmdb-732459} - [Bluray-1080p][EAC3 5.1][x264]-iFT.mkv,/mnt/media/Movies/Blade of the 47 Ronin (2022)/Blade of the 47 Ronin (2022) {tmdb-732459} - [Bluray-1080p][EAC3 5.1][x264]-iFT.mkv,Blade of the 47 Ronin (2022)/Blade of the 47 Ronin (2022) {tmdb-732459} - [Bluray-1080p][EAC3 5.1][x264]-iFT.mkv,12943226403,12.05,1080p,,,H.264,DD+,,BluRay,,,
Four Brothers (2005),Four Brothers (2005) {tmdb-8292} - [Bluray-1080p][DTS 5.1][x264]-CtrlHD.mkv,/mnt/media/Movies/Four Brothers (2005)/Four Brothers (2005) {tmdb-8292} - [Bluray-1080p][DTS 5.1][x264]-CtrlHD.mkv,Four Brothers (2005)/Four Brothers (2005) {tmdb-8292} - [Bluray-1080p][DTS 5.1][x264]-CtrlHD.mkv,13467126889,12.54,1080p,,,H.264,DTS,,BluRay,,,
