title,filename,path,relative_path,size_bytes,size_gb,resolution,width,height,video_codec,audio_codec,hdr,source,group,duration_minutes,bitrate_mbps
Spider-Man No Way Home (2021),Spider-Man No Way Home (2021) {tmdb-634649} - [WEBDL-2160p][AC3 5.1][h265].mkv,/mnt/synology/rs-4kmedia/4kmovies/Spider-Man No Way Home (2021)/Spider-Man No Way Home (2021) {tmdb-634649} - [WEBDL-2160p][AC3 5.1][h265].mkv,Spider-Man No Way Home (2021)/Spider-Man No Way Home (2021) {tmdb-634649} - [WEBDL-2160p][AC3 5.1][h265].mkv,23059699250,21.48,2160p,,,H.265,DD,,WEB-DL,,,
Star Trek (2009),Star Trek (2009) {tmdb-13475} - [Bluray-2160p][TrueHD Atmos 7.1][HDR10][x265]-IAMABLE.mkv,/mnt/synology/rs-4kmedia/4kmovies/Star Trek (2009)/Star Trek (2009) {tmdb-13475} - [Bluray-2160p][TrueHD Atmos 7.1][HDR10][x265]-IAMABLE.mkv,Star Trek (2009)/Star Trek (2009) {tmdb-13475} - [Bluray-2160p][TrueHD Atmos 7.1][HDR10][x265]-IAMABLE.mkv,40736555712,37.94,2160p,,,H.265,TrueHD,HDR10,BluRay,,,
Star Trek First Contact (1996),Star Trek First Contact (1996) {tmdb-199} - [WEBDL-2160p][EAC3 5.1][x265]-ABBiE.mkv,/mnt/synology/rs-4kmedia/4kmovies/Star Trek First Contact (1996)/Star Trek First Contact (1996) {tmdb-199} - [WEBDL-2160p][EAC3 5.1][x265]-ABBiE.mkv,Star Trek First Contact (1996)/Star Trek First Contact (1996) {tmdb-199} - [WEBDL-2160p][EAC3 5.1][x265]-ABBiE.mkv,11068005896,10.31,2160p,,,H.265,DD+,,WEB-DL,,,
Star Trek Into Darkness (2013),Star Trek Into Darkness (2013) {tmdb-54138} - [Remux-2160p][TrueHD Atmos 7.1][HDR10][HEVC]-EPSiLON.mkv,/mnt/synology/rs-4kmedia/4kmovies/Star Trek Into Darkness (2013)/Star Trek Into Darkness (2013) {tmdb-54138} - [Remux-2160p][TrueHD Atmos 7.1][HDR10][HEVC]-EPSiLON.mkv,Star Trek Into Darkness (2013)/Star Trek Into Darkness (2013) {tmdb-54138} - [Remux-2160p][TrueHD Atmos 7.1][HDR10][HEVC]-EPSiLON.mkv,55009881987,51.23,2160p,,,H.265,TrueHD,HDR10,Remux,,,
Star Trek The Motion Picture (1979),Star Trek The Motion Picture (1979) {tmdb-152} - [Remux-2160p][TrueHD Atmos 7.1][DV HDR10][h265].mkv,/mnt/synology/rs-4kmedia/4kmovies/Star Trek The Motion Picture (1979)/Star Trek The Motion Picture (1979) {tmdb-152} - [Remux-2160p][TrueHD Atmos 7.1][DV HDR10][h265].mkv,Star Trek The Motion Picture (1979)/Star Trek The Motion Picture (1979) {tmdb-152} - [Remux-2160p][TrueHD Atmos 7.1][DV HDR10][h265].mkv,81043007023,75.48,2160p,,,H.265,TrueHD,DV HDR10,Remux,,,
Star Trek V The Final Frontier (1989),Star Trek V The Final Frontier (1989) {tmdb-172} - [Bluray-2160p][TrueHD 7.1][HDR10][x265].mkv,/mnt/synology/rs-4kmedia/4kmovies/Star Trek V The Final Frontier (1989)/Star Trek V The Final Frontier (1989) {tmdb-172} - [Bluray-2160p][TrueHD 7.1][HDR10][x265].mkv,Star Trek V The Final Frontier (1989)/Star Trek V The Final Frontier (1989) {tmdb-172} - [Bluray-2160p][TrueHD 7.1][HDR10][x265].mkv,25687621064,23.92,2160p,,,H.265,TrueHD,HDR10,BluRay,,,
Star Trek VI The Undiscovered Country (1991),Star Trek VI The Undiscovered Country (1991) {tmdb-174} - [Bluray-2160p][TrueHD 7.1][HDR10][x265].mkv,/mnt/synology/rs-4kmedia/4kmovies/Star Trek VI The Undiscovered Country (1991)/Star Trek VI The Undiscovered Country (1991) {tmdb-174} - [Bluray-2160p][TrueHD 7.1][HDR10][x265].mkv,Star Trek VI The Undiscovered Country (1991)/Star Trek VI The Undiscovered Country (1991) {tmdb-174} - [Bluray-2160p][TrueHD 7.1][HDR10][x265].mkv,22691914538,21.13,2160p,,,H.265,TrueHD,HDR10,BluRay,,,
Star Wars (1977),Star Wars (1977) {tmdb-11} - [Remux-2160p][TrueHD Atmos 7.1][DV HDR10][h265].mkv,/mnt/synology/rs-4kmedia/4kmovies/Star Wars (1977)/Star Wars (1977) {tmdb-11} - [Remux-2160p][TrueHD Atmos 7.1][DV HDR10][h265].mkv,Star Wars (1977)/Star Wars (1977) {tmdb-11} - [Remux-2160p][TrueHD Atmos 7.1][DV HDR10][h265].mkv,52636206068,49.02,2160p,,,H.265,TrueHD,DV HDR10,Remux,,,
Tenet (2020),Tenet (2020) {tmdb-577922} - [Bluray-2160p Proper][DTS-HD MA 5.1][HDR10][x265]-CtrlHD.mkv,/mnt/synology/rs-4kmedia/4kmovies/Tenet (2020)/Tenet (2020) {tmdb-577922} - [Bluray-2160p Proper][DTS-HD MA 5.1][HDR10][x265]-CtrlHD.mkv,Tenet (2020)/Tenet (2020) {tmdb-577922} - [Bluray-2160p Proper][DTS-HD MA 5.1][HDR10][x265]-CtrlHD.mkv,36297868261,33.81,2160p,,,H.265,DTS-HD,HDR10,BluRay,,,
Terminator Dark Fate (2019),Terminator Dark Fate (2019) {tmdb-290859} - [Bluray-2160p Proper][TrueHD Atmos 7.1][DV HDR10][x265]-DON.mkv,/mnt/synology/rs-4kmedia/4kmovies/Terminator Dark Fate (2019)/Terminator Dark Fate (2019) {tmdb-290859} - [Bluray-2160p Proper][TrueHD Atmos 7.1][DV HDR10][x265]-DON.mkv,Terminator Dark Fate (2019)/Terminator Dark Fate (2019) {tmdb-290859} - [Bluray-2160p Proper][TrueHD Atmos 7.1][DV HDR10][x265]-DON.mkv,28677543469,26.71,2160p,,,H.265,TrueHD,DV HDR10,BluRay,,,
