title,filename,path,size_bytes,size_gb,resolution,width,height,video_codec,audio_codec,hdr,source,group,duration_minutes,bitrate_mbps
"Strangers Chapter 2, The (2025)",The Strangers Chapter 2 (2025) {imdb-tt28671344} [Bluray-1080p][EAC3 5.1][x264]-hallowed.mkv,"/mnt/synology/rs-movies/Strangers Chapter 2, The (2025)/The Strangers Chapter 2 (2025) {imdb-tt28671344} [Bluray-1080p][EAC3 5.1][x264]-hallowed.mkv",7887279388,7.35,1080p,1920.0,800.0,H.264,DD+,,BluRay,,98.9,10.64
"Pirates The Last Royal Treasure, The (2022)",The Pirates The Last Royal Treasure (2022) {imdb-tt17491040} [NF][WEBDL-1080p][EAC3 5.1][x264]-TEPES.mkv,"/mnt/synology/rs-movies/Pirates The Last Royal Treasure, The (2022)/The Pirates The Last Royal Treasure (2022) {imdb-tt17491040} [NF][WEBDL-1080p][EAC3 5.1][x264]-TEPES.mkv",5839894100,5.44,1080p,1920.0,1080.0,H.264,DD+,,WEB-DL,,126.8,6.14
Focus (2015),Focus (2015) {imdb-tt2381941} [Bluray-1080p][DTS 5.1][x264].mkv,/mnt/synology/rs-movies/Focus (2015)/Focus (2015) {imdb-tt2381941} [Bluray-1080p][DTS 5.1][x264].mkv,10873219738,10.13,1080p,1920.0,1080.0,H.264,DTS,,BluRay,,104.7,13.84
Waves (2019),Waves (2019) {imdb-tt8652728} [Bluray-1080p][DV HDR10][Opus 7.1][x265]-NCmt.mkv,/mnt/synology/rs-movies/Waves (2019)/Waves (2019) {imdb-tt8652728} [Bluray-1080p][DV HDR10][Opus 7.1][x265]-NCmt.mkv,21202659252,19.75,1080p,1920.0,1038.0,H.265,Opus,DV HDR10,BluRay,,135.7,20.84
Nutcrackers (2024),Nutcrackers (2024) {imdb-tt30144381} [WEBDL-1080p][EAC3 5.1][h264]-AccomplishedYak.mkv,/mnt/synology/rs-movies/Nutcrackers (2024)/Nutcrackers (2024) {imdb-tt30144381} [WEBDL-1080p][EAC3 5.1][h264]-AccomplishedYak.mkv,4882094441,4.55,1080p,1920.0,1080.0,H.264,DD+,,WEB-DL,,105.0,6.2
Out of Time (2003),Out of Time (2003) {imdb-tt0313443} [Bluray-1080p][DTS 5.1][x264].mkv,/mnt/synology/rs-movies/Out of Time (2003)/Out of Time (2003) {imdb-tt0313443} [Bluray-1080p][DTS 5.1][x264].mkv,10865033490,10.12,1080p,1920.0,802.0,H.264,DTS,,BluRay,,105.4,13.74
Happy Gilmore 2 (2025),Happy Gilmore 2 (2025) {imdb-tt31868189} - [NF][WEBDL-1080p][EAC3 Atmos 5.1][x264]-FLUX.mkv,/mnt/synology/rs-movies/Happy Gilmore 2 (2025)/Happy Gilmore 2 (2025) {imdb-tt31868189} - [NF][WEBDL-1080p][EAC3 Atmos 5.1][x264]-FLUX.mkv,4993205416,4.65,1080p,1920.0,1080.0,H.264,DD+,,WEB-DL,,117.5,5.66
Locked Down (2021),Locked Down (2021) {imdb-tt13061914} [WEBDL-1080p][AC3 5.1][h264]-MZABI.mkv,/mnt/synology/rs-movies/Locked Down (2021)/Locked Down (2021) {imdb-tt13061914} [WEBDL-1080p][AC3 5.1][h264]-MZABI.mkv,7605551777,7.08,1080p,1920.0,1080.0,H.264,DD,,WEB-DL,,117.9,8.6
Tucker and Dale vs Evil (2010),Tucker.and.Dale.vs.Evil.2010.1080p.BluRay.x264.DTSHD.MA-TBB.mkv,/mnt/synology/rs-movies/Tucker and Dale vs Evil (2010)/Tucker.and.Dale.vs.Evil.2010.1080p.BluRay.x264.DTSHD.MA-TBB.mkv,10407243815,9.69,1080p,1920.0,816.0,H.264,DTS-HD MA,,BluRay,,88.7,15.64
The Nut Job (2014),The Nut Job (2014) {imdb-tt1821658} [Bluray-1080p][DTS 5.1][x264].mkv,/mnt/synology/rs-movies/The Nut Job (2014)/The Nut Job (2014) {imdb-tt1821658} [Bluray-1080p][DTS 5.1][x264].mkv,4689370499,4.37,1080p,1920.0,1040.0,H.264,DTS,,BluRay,,85.9,7.28
