title,filename,path,relative_path,size_bytes,size_gb,resolution,width,height,video_codec,audio_codec,hdr,source,group,duration_minutes,bitrate_mbps
The Hobbit An Unexpected Journey (2012),The.Hobbit.An.Unexpected.Journey.2012.Extended.Cut.UHD.BluRay.2160p.TrueHD.Atmos.7.1.DV.HEVC.REMUX-FraMeSToR.mkv,/mnt/synology/rs-4kmedia/4kmovies/The Hobbit An Unexpected Journey (2012)/The.Hobbit.An.Unexpected.Journey.2012.Extended.Cut.UHD.BluRay.2160p.TrueHD.Atmos.7.1.DV.HEVC.REMUX-FraMeSToR.mkv,The Hobbit An Unexpected Journey (2012)/The.Hobbit.An.Unexpected.Journey.2012.Extended.Cut.UHD.BluRay.2160p.TrueHD.Atmos.7.1.DV.HEVC.REMUX-FraMeSToR.mkv,74566778707,69.45,2160p,3840,2160,H.265,TrueHD Atmos,DV,Remux,,182.5,54.47
The Hobbit The Battle of the Five Armies (2014),The.Hobbit.The.Battle.of.the.Five.Armies.2014.Extended.Cut.UHD.BluRay.2160p.TrueHD.Atmos.7.1.DV.HEVC.REMUX-FraMeSToR.mkv,/mnt/synology/rs-4kmedia/4kmovies/The Hobbit The Battle of the Five Armies (2014)/The.Hobbit.The.Battle.of.the.Five.Armies.2014.Extended.Cut.UHD.BluRay.2160p.TrueHD.Atmos.7.1.DV.HEVC.REMUX-FraMeSToR.mkv,The Hobbit The Battle of the Five Armies (2014)/The.Hobbit.The.Battle.of.the.Five.Armies.2014.Extended.Cut.UHD.BluRay.2160p.TrueHD.Atmos.7.1.DV.HEVC.REMUX-FraMeSToR.mkv,64520564342,60.09,2160p,3840,2160,H.265,TrueHD Atmos,DV,Remux,,164.1,52.44
The Hobbit The Desolation of Smaug (2013),The.Hobbit.The.Desolation.of.Smaug.2013.Extended.Cut.UHD.BluRay.2160p.TrueHD.Atmos.7.1.DV.HEVC.REMUX-FraMeSToR.mkv,/mnt/synology/rs-4kmedia/4kmovies/The Hobbit The Desolation of Smaug (2013)/The.Hobbit.The.Desolation.of.Smaug.2013.Extended.Cut.UHD.BluRay.2160p.TrueHD.Atmos.7.1.DV.HEVC.REMUX-FraMeSToR.mkv,The Hobbit The Desolation of Smaug (2013)/The.Hobbit.The.Desolation.of.Smaug.2013.Extended.Cut.UHD.BluRay.2160p.TrueHD.Atmos.7.1.DV.HEVC.REMUX-FraMeSToR.mkv,84661155918,78.85,2160p,3840,2160,H.265,TrueHD Atmos,DV,Remux,,186.6,60.5
The Hunger Games (2012),The Hunger Games (2012) Remux-2160p.mkv,/mnt/synology/rs-4kmedia/4kmovies/The Hunger Games (2012)/The Hunger Games (2012) Remux-2160p.mkv,The Hunger Games (2012)/The Hunger Games (2012) Remux-2160p.mkv,75557146736,70.37,2160p,3840,2160,H.265,,DV,Remux,,142.6,70.63
The Hunger Games Catching Fire (2013),The Hunger Games Catching Fire (2013) Remux-2160p.mkv,/mnt/synology/rs-4kmedia/4kmovies/The Hunger Games Catching Fire (2013)/The Hunger Games Catching Fire (2013) Remux-2160p.mkv,The Hunger Games Catching Fire (2013)/The Hunger Games Catching Fire (2013) Remux-2160p.mkv,78025518110,72.67,2160p,3840,2160,H.265,,DV,Remux,,146.6,70.95
The Hunger Games Mockingjay - Part 1 (2014),The Hunger Games Mockingjay - Part 1 (2014) Remux-2160p.mkv,/mnt/synology/rs-4kmedia/4kmovies/The Hunger Games Mockingjay - Part 1 (2014)/The Hunger Games Mockingjay - Part 1 (2014) Remux-2160p.mkv,The Hunger Games Mockingjay - Part 1 (2014)/The Hunger Games Mockingjay - Part 1 (2014) Remux-2160p.mkv,66459734633,61.9,2160p,3840,2160,H.265,,DV,Remux,,123.3,71.89
The Hunger Games Mockingjay - Part 2 (2015),The Hunger Games Mockingjay - Part 2 (2015) Remux-2160p.mkv,/mnt/synology/rs-4kmedia/4kmovies/The Hunger Games Mockingjay - Part 2 (2015)/The Hunger Games Mockingjay - Part 2 (2015) Remux-2160p.mkv,The Hunger Games Mockingjay - Part 2 (2015)/The Hunger Games Mockingjay - Part 2 (2015) Remux-2160p.mkv,76169855199,70.94,2160p,3840,2160,H.265,,DV,Remux,,137.1,74.07
The Hunt for Red October (1990),The Hunt for Red October.1990.2160p.UHD.BluRay.TrueHD5.1.x265-HQMUX.mkv,/mnt/synology/rs-4kmedia/4kmovies/The Hunt for Red October (1990)/The Hunt for Red October.1990.2160p.UHD.BluRay.TrueHD5.1.x265-HQMUX.mkv,The Hunt for Red October (1990)/The Hunt for Red October.1990.2160p.UHD.BluRay.TrueHD5.1.x265-HQMUX.mkv,24363997863,22.69,2160p,3840,1632,H.265,TrueHD,,BluRay,,135.1,24.04
The Lord of the Rings The Fellowship of the Ring (2001),The Lord of the Rings The Fellowship of the Ring (2001) Remux-2160p.mkv,/mnt/synology/rs-4kmedia/4kmovies/The Lord of the Rings The Fellowship of the Ring (2001)/The Lord of the Rings The Fellowship of the Ring (2001) Remux-2160p.mkv,The Lord of the Rings The Fellowship of the Ring (2001)/The Lord of the Rings The Fellowship of the Ring (2001) Remux-2160p.mkv,119919536474,111.68,2160p,3840,2160,H.265,,,Remux,,228.2,70.07
The Lord of the Rings The Return of the King (2003),The Lord of the Rings The Return of the King (2003) Remux-2160p.mkv,/mnt/synology/rs-4kmedia/4kmovies/The Lord of the Rings The Return of the King (2003)/The Lord of the Rings The Return of the King (2003) Remux-2160p.mkv,The Lord of the Rings The Return of the King (2003)/The Lord of the Rings The Return of the King (2003) Remux-2160p.mkv,133437126066,124.27,2160p,3840,2160,H.265,,,Remux,,263.2,67.6
The Lord of the Rings The Two Towers (2002),The Lord of the Rings The Two Towers (2002) Remux-2160p.mkv,/mnt/synology/rs-4kmedia/4kmovies/The Lord of the Rings The Two Towers (2002)/The Lord of the Rings The Two Towers (2002) Remux-2160p.mkv,The Lord of the Rings The Two Towers (2002)/The Lord of the Rings The Two Towers (2002) Remux-2160p.mkv,113736685889,105.93,2160p,3840,2160,H.265,,,Remux,,235.4,64.42
