Direction,Title,Filename,Size_GB,Quality_Score,Reason
Ali → Chris,john wick sphd mkv,John Wick (2014) {imdb-tt2911666} [Bluray-2160p][DV HDR10][TrueHD Atmos 7.1][x265]-SPHD.mkv,40.61,0,Only Ali has this file
Ali → Chris,blade runner framestor mkv,Blade Runner (1982) {imdb-tt0083658} {edition-Final Cut} [Remux-2160p][HDR10][TrueHD Atmos 7.1][HEVC]-FraMeSToR.mkv,45.76,0,Only Ali has this file
Ali → Chris,mission impossible ghost protocol hqmux mkv,Mission Impossible Ghost Protocol (2011) {imdb-tt1229238} [Bluray-2160p][HDR10][TrueHD 7.1][x265]-HQMUX.mkv,25.72,0,Only Ali has this file
Ali → Chris,the empire strikes back hqmux mkv,The Empire Strikes Back (1980) {imdb-tt0080684} [Bluray-2160p][HDR10][TrueHD Atmos 7.1][x265]-HQMUX.mkv,27.57,0,Only Ali has this file
Ali → Chris,star trek beyond sphd mkv,Star Trek Beyond (2016) {imdb-tt2660888} [Bluray-2160p][DV HDR10][TrueHD Atmos 7.1][x265]-SPHD.mkv,38.17,0,Only Ali has this file
Ali → Chris,blade runner p 7 1 hybrid framestor mkv,Blade.Runner.2049.2017.UHD.BluRay.2160p.TrueHD.Atmos.7.1.HEVC.HYBRID.REMUX-FraMeSToR.mkv,73.33,0,Only Ali has this file
Ali → Chris,joker mgb mkv,Joker (2019) {imdb-tt7286456} [Bluray-2160p][HDR10][TrueHD Atmos 7.1][x265]-MgB.mkv,21.82,0,Only Ali has this file
Ali → Chris,mortal kombat hqmux mkv,Mortal Kombat (2021) {imdb-tt0293429} - [Bluray-2160p][TrueHD Atmos 7.1][HDR10][x265]-HQMUX.mkv,33.14,0,Only Ali has this file
Ali → Chris,mission impossible iii sphd mkv,Mission Impossible III (2006) {imdb-tt0317919} [Bluray-2160p][DV HDR10][TrueHD 5.1][x265]-SPHD.mkv,29.20,0,Only Ali has this file
Ali → Chris,cars p 7 1 ctrlhd mkv,Cars.2006.2160p.UHD.BluRay.TrueHD.7.1.HDR.x265-CtrlHD.mkv,24.69,0,Only Ali has this file
Ali → Chris,tron spx mkv,Tron (1982) {imdb-tt0084827} - [Bluray-2160p][TrueHD Atmos 7.1][DV HDR10][x265]-SPx.mkv,15.05,0,Only Ali has this file
Ali → Chris,the fifth element w4nk3r mkv,The Fifth Element (1997) {imdb-tt0119116} [Bluray-2160p][DV HDR10][TrueHD Atmos 7.1][x265]-W4NK3R.mkv,56.64,0,Only Ali has this file
Ali → Chris,blade mainframe mkv,Blade (1998) {imdb-tt0120611} [Bluray-2160p][DV HDR10][TrueHD Atmos 7.1][x265]-MainFrame.mkv,33.06,0,Only Ali has this file
Ali → Chris,cars 3 ctrlhd mkv,Cars 3 (2017) {imdb-tt3606752} [Bluray-2160p][HDR10][TrueHD Atmos 7.1][x265]-CtrlHD.mkv,22.96,0,Only Ali has this file
Ali → Chris,star trek ii the wrath of khan hallowed mkv,Star Trek II The Wrath of Khan (1982) {imdb-tt0084726} {edition-Theatrical Cut} [Bluray-2160p Proper][DV HDR10][EAC3 7.1][x265]-hallowed.mkv,14.90,0,Only Ali has this file
Ali → Chris,captain america civil war p w4nk3r mkv,Captain.America.Civil.War.2016.2160p.UHD.BluRay.ATMOS.HDR.x265-W4NK3R.mkv,28.74,0,Only Ali has this file
Ali → Chris,mission impossible fallout sphd mkv,Mission Impossible Fallout (2018) {imdb-tt4912910} {edition-Imax} [Bluray-2160p][DV HDR10][TrueHD Atmos 7.1][x265]-SPHD.mkv,51.19,0,Only Ali has this file
Ali → Chris,top gun maverick mainframe mkv,Top Gun Maverick (2022) {imdb-tt1745960} {edition-Imax} [Bluray-2160p][DV HDR10][TrueHD Atmos 7.1][x265]-MainFrame.mkv,30.03,0,Only Ali has this file
Ali → Chris,black adam p dovi 7 1 sphd mkv,Black Adam.2022.2160p.UHD.BluRay.HDR.DoVi.TrueHD 7.1.Atmos.x265-SPHD.mkv,31.24,0,Only Ali has this file
Ali → Chris,wonder woman mainframe mkv,Wonder Woman (2017) {imdb-tt0451279} [Bluray-2160p][DV HDR10][TrueHD Atmos 7.1][x265]-MainFrame.mkv,34.62,0,Only Ali has this file
Ali → Chris,the hunger games catching fire mainframe mkv,The Hunger Games Catching Fire (2013) {imdb-tt1951264} [Bluray-2160p][DV HDR10][TrueHD Atmos 7.1][x265]-MainFrame.mkv,37.53,0,Only Ali has this file
Ali → Chris,spider man homecoming w4nk3r mkv,Spider-Man Homecoming (2017) {imdb-tt2250912} [Bluray-2160p][DV HDR10][TrueHD Atmos 7.1][x265]-W4NK3R.mkv,25.32,0,Only Ali has this file
Ali → Chris,a beautiful planet framestor mkv,A Beautiful Planet (2016) {imdb-tt2800050} [Remux-2160p][HDR10Plus][DTS-X 7.1][HEVC]-FraMeSToR.mkv,17.33,0,Only Ali has this file
Ali → Chris,dawn of the planet of the apes hallowed mkv,Dawn of the Planet of the Apes (2014) {imdb-tt2103281} [Bluray-2160p][DV HDR10][EAC3 7.1][x265]-hallowed.mkv,15.36,0,Only Ali has this file
Ali → Chris,life of pi p ma 7 1 framestor mkv,Life.Of.Pi.2012.UHD.BluRay.2160p.DTS-HD.MA.7.1.HEVC.REMUX-FraMeSToR.mkv,46.66,0,Only Ali has this file
